datetime,src,sport,dst,dport,host
13-09-2024 13:17:26,172.23.225.169,54904,192.229.221.95,80,HTTP
13-09-2024 13:17:27,172.23.225.169,54904,192.229.221.95,80,HTTP
13-09-2024 13:17:28,172.23.225.169,56286,142.250.180.131,80,HTTP
13-09-2024 13:17:28,172.23.225.169,38800,104.218.74.13,80,HTTP
13-09-2024 13:17:32,172.23.225.169,48070,192.229.221.95,80,HTTP
13-09-2024 13:17:32,172.23.225.169,48056,192.229.221.95,80,HTTP
13-09-2024 13:17:48,172.23.225.169,48056,192.229.221.95,80,HTTP
13-09-2024 13:19:38,172.23.225.169,48056,192.229.221.95,80,HTTP
13-09-2024 13:19:38,172.23.225.169,45590,192.229.221.95,80,HTTP
13-09-2024 13:19:41,172.23.225.169,48056,192.229.221.95,80,HTTP
13-09-2024 13:19:41,172.23.225.169,45590,192.229.221.95,80,HTTP
13-09-2024 13:20:42,172.23.225.169,60166,108.139.249.85,80,HTTP
13-09-2024 13:20:43,172.23.225.169,39020,142.251.209.35,80,HTTP
13-09-2024 13:20:43,172.23.225.169,39014,142.251.209.35,80,HTTP
13-09-2024 13:20:43,172.23.225.169,60166,108.139.249.85,80,HTTP
13-09-2024 13:20:43,172.23.225.169,60168,108.139.249.85,80,HTTP
13-09-2024 13:20:43,172.23.225.169,39014,142.251.209.35,80,HTTP
13-09-2024 13:20:43,172.23.225.169,39020,142.251.209.35,80,HTTP
13-09-2024 13:20:43,172.23.225.169,39036,142.251.209.35,80,HTTP
13-09-2024 13:20:43,172.23.225.169,39048,142.251.209.35,80,HTTP
13-09-2024 13:20:44,172.23.225.169,39014,142.251.209.35,80,HTTP
13-09-2024 13:20:45,172.23.225.169,39020,142.251.209.35,80,HTTP
13-09-2024 13:20:45,172.23.225.169,45590,192.229.221.95,80,HTTP
13-09-2024 13:20:45,172.23.225.169,39014,142.251.209.35,80,HTTP
13-09-2024 13:20:48,172.23.225.169,53346,91.189.91.48,80,HTTP
18-09-2024 14:45:13,172.23.225.169,36672,34.107.221.82,80,detectportal.firefox.com,HTTP
18-09-2024 14:45:13,172.23.225.169,36688,34.107.221.82,80,detectportal.firefox.com,HTTP
18-09-2024 14:45:13,172.23.225.169,36692,34.107.221.82,80,detectportal.firefox.com,HTTP
18-09-2024 14:45:14,172.23.225.169,48180,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48176,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48164,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48150,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51260,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48180,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48176,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48164,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,48150,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,60472,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:14,172.23.225.169,60462,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:14,172.23.225.169,60476,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:14,172.23.225.169,50222,192.229.221.95,80,ocsp.digicert.com,HTTP
18-09-2024 14:45:14,172.23.225.169,50226,192.229.221.95,80,ocsp.digicert.com,HTTP
18-09-2024 14:45:14,172.23.225.169,51260,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51286,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51272,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51284,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51296,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51260,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:14,172.23.225.169,51272,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:15,172.23.225.169,48180,92.123.101.240,80,r10.o.lencr.org,HTTP
18-09-2024 14:45:15,172.23.225.169,43640,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:16,172.23.225.169,60462,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:16,172.23.225.169,60472,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:16,172.23.225.169,60472,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:17,172.23.225.169,60462,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:17,172.23.225.169,57722,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:17,172.23.225.169,57738,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:17,172.23.225.169,57740,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:17,172.23.225.169,60472,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:18,172.23.225.169,57934,104.18.38.233,80,geant.ocsp.sectigo.com,HTTP
18-09-2024 14:45:20,172.23.225.169,60462,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:20,172.23.225.169,57722,142.251.209.3,80,o.pki.goog,HTTP
18-09-2024 14:45:43,172.23.225.169,51284,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:43,172.23.225.169,51286,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:43,172.23.225.169,51296,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:45:43,172.23.225.169,51260,84.53.177.25,80,r11.o.lencr.org,HTTP
18-09-2024 14:46:04,172.23.225.169,50222,192.229.221.95,80,ocsp.digicert.com,HTTP
18-09-2024 14:46:04,172.23.225.169,50226,192.229.221.95,80,ocsp.digicert.com,HTTP
18-09-2024 14:46:13,172.23.225.169,36672,34.107.221.82,80,detectportal.firefox.com,HTTP
18-09-2024 14:46:13,172.23.225.169,36692,34.107.221.82,80,detectportal.firefox.com,HTTP
